Gene Name,Functional Category
Rv1482c,conserved-hypothetical
Rv1486c,conserved-hypothetical
Rv1489,conserved-hypothetical
Rv1489A,conserved-hypothetical
Rv1498A,conserved-hypothetical
Rv1499,conserved-hypothetical
Rv1501,conserved-hypothetical
Rv1503c,conserved-hypothetical
Rv1504c,conserved-hypothetical
Rv1505c,conserved-hypothetical
Rv1507c,conserved-hypothetical
Rv1508A,conserved-hypothetical
Rv1513,conserved-hypothetical
Rv1514c,conserved-hypothetical
Rv1515c,conserved-hypothetical
Rv1518,conserved-hypothetical
Rv1519,conserved-hypothetical
Rv1525,conserved-hypothetical
Rv1531,conserved-hypothetical
Rv1532c,conserved-hypothetical
Rv1533,conserved-hypothetical
Rv1535,conserved-hypothetical
Rv1540,conserved-hypothetical
Rv1545,conserved-hypothetical
Rv1546,conserved-hypothetical
Rv1558,conserved-hypothetical
Rv1571,conserved-hypothetical
Rv1590,conserved-hypothetical
Rv1592c,conserved-hypothetical
Rv1593c,conserved-hypothetical
Rv1597,conserved-hypothetical
Rv1598c,conserved-hypothetical
Rv1628c,conserved-hypothetical
Rv1632c,conserved-hypothetical
Rv1637c,conserved-hypothetical
Rv1638A,conserved-hypothetical
Rv1645c,conserved-hypothetical
Rv1669,conserved-hypothetical
Rv1670,conserved-hypothetical
Rv1673c,conserved-hypothetical
Rv1676,conserved-hypothetical
Rv1680,conserved-hypothetical
Rv1682,conserved-hypothetical
Rv1684,conserved-hypothetical
Rv1685c,conserved-hypothetical
Rv1691,conserved-hypothetical
Rv1693,conserved-hypothetical
Rv1697,conserved-hypothetical
Rv1706A,conserved-hypothetical
Rv1711,conserved-hypothetical
Rv1716,conserved-hypothetical
Rv1717,conserved-hypothetical
Rv1718,conserved-hypothetical
Rv1724c,conserved-hypothetical
Rv1725c,conserved-hypothetical
Rv1727,conserved-hypothetical
Rv1728c,conserved-hypothetical
Rv1732c,conserved-hypothetical
Rv1734c,conserved-hypothetical
Rv1738,conserved-hypothetical
Rv1748,conserved-hypothetical
Rv1752,conserved-hypothetical
Rv1754c,conserved-hypothetical
Rv1762c,conserved-hypothetical
Rv1765c,conserved-hypothetical
Rv1766,conserved-hypothetical
Rv1767,conserved-hypothetical
Rv1769,conserved-hypothetical
Rv1770,conserved-hypothetical
Rv1772,conserved-hypothetical
Rv1775,conserved-hypothetical
Rv1778c,conserved-hypothetical
Rv1780,conserved-hypothetical
Rv1794,conserved-hypothetical
Rv1804c,conserved-hypothetical
Rv1805c,conserved-hypothetical
Rv1810,conserved-hypothetical
Rv1813c,conserved-hypothetical
Rv1815,conserved-hypothetical
Rv1823,conserved-hypothetical
Rv1825,conserved-hypothetical
Rv1827,conserved-hypothetical
Rv1828,conserved-hypothetical
Rv1829,conserved-hypothetical
Rv1830,conserved-hypothetical
Rv1831,conserved-hypothetical
Rv1835c,conserved-hypothetical
Rv1836c,conserved-hypothetical
Rv1847,conserved-hypothetical
Rv1864c,conserved-hypothetical
Rv1868,conserved-hypothetical
Rv1870c,conserved-hypothetical
Rv1871c,conserved-hypothetical
Rv1873,conserved-hypothetical
Rv1874,conserved-hypothetical
Rv1875,conserved-hypothetical
Rv1879,conserved-hypothetical
Rv1883c,conserved-hypothetical
Rv1887,conserved-hypothetical
Rv1888A,conserved-hypothetical
Rv1889c,conserved-hypothetical
Rv1890c,conserved-hypothetical
Rv1891,conserved-hypothetical
Rv1893,conserved-hypothetical
Rv1894c,conserved-hypothetical
Rv1896c,conserved-hypothetical
Rv1897c,conserved-hypothetical
Rv1898,conserved-hypothetical
Rv1904,conserved-hypothetical
Rv1906c,conserved-hypothetical
Rv1907c,conserved-hypothetical
Rv1913,conserved-hypothetical
Rv1914c,conserved-hypothetical
Rv1919c,conserved-hypothetical
Rv1924c,conserved-hypothetical
Rv1927,conserved-hypothetical
Rv1929c,conserved-hypothetical
Rv1930c,conserved-hypothetical
Rv1944c,conserved-hypothetical
Rv1947,conserved-hypothetical
Rv1948c,conserved-hypothetical
Rv1949c,conserved-hypothetical
Rv1950c,conserved-hypothetical
Rv1951c,conserved-hypothetical
Rv1954c,conserved-hypothetical
Rv1957,conserved-hypothetical
Rv1958c,conserved-hypothetical
Rv1961,conserved-hypothetical
Rv1975,conserved-hypothetical
Rv1976c,conserved-hypothetical
Rv1977,conserved-hypothetical
Rv1978,conserved-hypothetical
Rv1989c,conserved-hypothetical
Rv1993c,conserved-hypothetical
Rv1995,conserved-hypothetical
Rv1998c,conserved-hypothetical
Rv2000,conserved-hypothetical
Rv2001,conserved-hypothetical
Rv2003c,conserved-hypothetical
Rv2004c,conserved-hypothetical
Rv2008c,conserved-hypothetical
Rv2012,conserved-hypothetical
Rv2015c,conserved-hypothetical
Rv2016,conserved-hypothetical
Rv2018,conserved-hypothetical
Rv2019,conserved-hypothetical
Rv2020c,conserved-hypothetical
Rv2022c,conserved-hypothetical
Rv2023c,conserved-hypothetical
Rv2023A,conserved-hypothetical
Rv2024c,conserved-hypothetical
Rv2030c,conserved-hypothetical
Rv2032,conserved-hypothetical
Rv2033c,conserved-hypothetical
Rv2035,conserved-hypothetical
Rv2036,conserved-hypothetical
Rv2042c,conserved-hypothetical
Rv2044c,conserved-hypothetical
Rv2047c,conserved-hypothetical
Rv2049c,conserved-hypothetical
Rv2050,conserved-hypothetical
Rv2052c,conserved-hypothetical
Rv2054,conserved-hypothetical
Rv2059,conserved-hypothetical
Rv2061c,conserved-hypothetical
Rv2067c,conserved-hypothetical
Rv2076c,conserved-hypothetical
Rv2077A,conserved-hypothetical
Rv2078,conserved-hypothetical
Rv2079,conserved-hypothetical
Rv2082,conserved-hypothetical
Rv2083,conserved-hypothetical
Rv2102,conserved-hypothetical
Rv2114,conserved-hypothetical
Rv2117,conserved-hypothetical
Rv2119,conserved-hypothetical
Rv2125,conserved-hypothetical
Rv2132,conserved-hypothetical
Rv2133c,conserved-hypothetical
Rv2134c,conserved-hypothetical
Rv2135c,conserved-hypothetical
Rv2137c,conserved-hypothetical
Rv2140c,conserved-hypothetical
Rv2143,conserved-hypothetical
Rv2147c,conserved-hypothetical
Rv2148c,conserved-hypothetical
Rv2149c,conserved-hypothetical
Rv2159c,conserved-hypothetical
Rv2165c,conserved-hypothetical
Rv2166c,conserved-hypothetical
Rv2172c,conserved-hypothetical
Rv2179c,conserved-hypothetical
Rv2182c,conserved-hypothetical
Rv2183c,conserved-hypothetical
Rv2184c,conserved-hypothetical
Rv2185c,conserved-hypothetical
Rv2186c,conserved-hypothetical
Rv2189c,conserved-hypothetical
Rv2204c,conserved-hypothetical
Rv2205c,conserved-hypothetical
Rv2216,conserved-hypothetical
Rv2226,conserved-hypothetical
Rv2227,conserved-hypothetical
Rv2229c,conserved-hypothetical
Rv2230c,conserved-hypothetical
Rv2237,conserved-hypothetical
Rv2237A,conserved-hypothetical
Rv2239c,conserved-hypothetical
Rv2240c,conserved-hypothetical
Rv2242,conserved-hypothetical
Rv2248,conserved-hypothetical
Rv2255c,conserved-hypothetical
Rv2256c,conserved-hypothetical
Rv2257c,conserved-hypothetical
Rv2260,conserved-hypothetical
Rv2264c,conserved-hypothetical
Rv2267c,conserved-hypothetical
Rv2269c,conserved-hypothetical
Rv2271,conserved-hypothetical
Rv2275,conserved-hypothetical
Rv2283,conserved-hypothetical
Rv2286c,conserved-hypothetical
Rv2288,conserved-hypothetical
Rv2293c,conserved-hypothetical
Rv2295,conserved-hypothetical
Rv2297,conserved-hypothetical
Rv2298,conserved-hypothetical
Rv2300c,conserved-hypothetical
Rv2302,conserved-hypothetical
Rv2304c,conserved-hypothetical
Rv2305,conserved-hypothetical
Rv2307c,conserved-hypothetical
Rv2307A,conserved-hypothetical
Rv2307B,conserved-hypothetical
Rv2307D,conserved-hypothetical
Rv2308,conserved-hypothetical
Rv2309A,conserved-hypothetical
Rv2311,conserved-hypothetical
Rv2312,conserved-hypothetical
Rv2313c,conserved-hypothetical
Rv2314c,conserved-hypothetical
Rv2315c,conserved-hypothetical
Rv2323c,conserved-hypothetical
Rv2325c,conserved-hypothetical
Rv2327,conserved-hypothetical
Rv2331,conserved-hypothetical
Rv2331A,conserved-hypothetical
Rv2336,conserved-hypothetical
Rv2337c,conserved-hypothetical
Rv2342,conserved-hypothetical
Rv2360c,conserved-hypothetical
Rv2365c,conserved-hypothetical
Rv2367c,conserved-hypothetical
Rv2369c,conserved-hypothetical
Rv2370c,conserved-hypothetical
Rv2372c,conserved-hypothetical
Rv2375,conserved-hypothetical
Rv2387,conserved-hypothetical
Rv2390c,conserved-hypothetical
Rv2395A,conserved-hypothetical
Rv2395B,conserved-hypothetical
Rv2401,conserved-hypothetical
Rv2402,conserved-hypothetical
Rv2405,conserved-hypothetical
Rv2406c,conserved-hypothetical
Rv2407,conserved-hypothetical
Rv2409c,conserved-hypothetical
Rv2410c,conserved-hypothetical
Rv2411c,conserved-hypothetical
Rv2413c,conserved-hypothetical
Rv2414c,conserved-hypothetical
Rv2415c,conserved-hypothetical
Rv2417c,conserved-hypothetical
Rv2418c,conserved-hypothetical
Rv2420c,conserved-hypothetical
Rv2422,conserved-hypothetical
Rv2423,conserved-hypothetical
Rv2425c,conserved-hypothetical
Rv2426c,conserved-hypothetical
Rv2432c,conserved-hypothetical
Rv2433c,conserved-hypothetical
Rv2438A,conserved-hypothetical
Rv2449c,conserved-hypothetical
Rv2451,conserved-hypothetical
Rv2452c,conserved-hypothetical
Rv2466c,conserved-hypothetical
Rv2468c,conserved-hypothetical
Rv2468A,conserved-hypothetical
Rv2469c,conserved-hypothetical
Rv2472,conserved-hypothetical
Rv2474c,conserved-hypothetical
Rv2475c,conserved-hypothetical
Rv2478c,conserved-hypothetical
Rv2481c,conserved-hypothetical
Rv2489c,conserved-hypothetical
Rv2491,conserved-hypothetical
Rv2492,conserved-hypothetical
Rv2510c,conserved-hypothetical
Rv2513,conserved-hypothetical
Rv2514c,conserved-hypothetical
Rv2515c,conserved-hypothetical
Rv2516c,conserved-hypothetical
Rv2517c,conserved-hypothetical
Rv2522c,conserved-hypothetical
Rv2525c,conserved-hypothetical
Rv2529,conserved-hypothetical
Rv2532c,conserved-hypothetical
Rv2541,conserved-hypothetical
Rv2542,conserved-hypothetical
Rv2548A,conserved-hypothetical
Rv2551c,conserved-hypothetical
Rv2554c,conserved-hypothetical
Rv2556c,conserved-hypothetical
Rv2557,conserved-hypothetical
Rv2558,conserved-hypothetical
Rv2559c,conserved-hypothetical
Rv2561,conserved-hypothetical
Rv2562,conserved-hypothetical
Rv2565,conserved-hypothetical
Rv2566,conserved-hypothetical
Rv2567,conserved-hypothetical
Rv2568c,conserved-hypothetical
Rv2569c,conserved-hypothetical
Rv2570,conserved-hypothetical
Rv2573,conserved-hypothetical
Rv2574,conserved-hypothetical
Rv2577,conserved-hypothetical
Rv2578c,conserved-hypothetical
Rv2598,conserved-hypothetical
Rv2603c,conserved-hypothetical
Rv2614A,conserved-hypothetical
Rv2616,conserved-hypothetical
Rv2618,conserved-hypothetical
Rv2619c,conserved-hypothetical
Rv2626c,conserved-hypothetical
Rv2627c,conserved-hypothetical
Rv2628,conserved-hypothetical
Rv2629,conserved-hypothetical
Rv2630,conserved-hypothetical
Rv2631,conserved-hypothetical
Rv2632c,conserved-hypothetical
Rv2633c,conserved-hypothetical
Rv2635,conserved-hypothetical
Rv2636,conserved-hypothetical
Rv2638,conserved-hypothetical
Rv2641,conserved-hypothetical
Rv2644c,conserved-hypothetical
Rv2660c,conserved-hypothetical
Rv2661c,conserved-hypothetical
Rv2662,conserved-hypothetical
Rv2663,conserved-hypothetical
Rv2664,conserved-hypothetical
Rv2665,conserved-hypothetical
Rv2670c,conserved-hypothetical
Rv2675c,conserved-hypothetical
Rv2676c,conserved-hypothetical
Rv2680,conserved-hypothetical
Rv2681,conserved-hypothetical
Rv2683,conserved-hypothetical
Rv2689c,conserved-hypothetical
Rv2694c,conserved-hypothetical
Rv2695,conserved-hypothetical
Rv2696c,conserved-hypothetical
Rv2699c,conserved-hypothetical
Rv2704,conserved-hypothetical
Rv2705c,conserved-hypothetical
Rv2706c,conserved-hypothetical
Rv2707,conserved-hypothetical
Rv2708c,conserved-hypothetical
Rv2712c,conserved-hypothetical
Rv2714,conserved-hypothetical
Rv2716,conserved-hypothetical
Rv2717c,conserved-hypothetical
Rv2722,conserved-hypothetical
Rv2728c,conserved-hypothetical
Rv2730,conserved-hypothetical
Rv2731,conserved-hypothetical
Rv2733c,conserved-hypothetical
Rv2734,conserved-hypothetical
Rv2735c,conserved-hypothetical
Rv2737A,conserved-hypothetical
Rv2738c,conserved-hypothetical
Rv2742c,conserved-hypothetical
Rv2744c,conserved-hypothetical
Rv2749,conserved-hypothetical
Rv2751,conserved-hypothetical
Rv2752c,conserved-hypothetical
